id,name,slug,price,old_price,description,image_url,image_back_url,stock_s,stock_m,stock_l,stock_xl,stock_unico,has_sizes,active
"prod-1","Remera oversize de lucha","remera-oversize-de-lucha",27500,35000,"Remera oversize unisex de algodón pesado. Calidad que se siente desde el primer toque.<br/><br/>Confeccionada con algodón de alto gramaje: suave, amplia, con un ajuste que abraza todo tipo de cuerpos. Hecha para durar lavado tras lavado, sin perder forma ni color.<br/><br/>Su espalda habla por sí sola. Un collage de figuras, símbolos y consignas que forman parte de nuestra historia y nuestra identidad: El escudo, las luchas, los rostros que nos representan.<br/><br/>Vestirla es memoria. Es pertenencia. Es decir quiénes somos.","/images/parte de frente de la remera.webp","/images/parte de atras de la remeras.webp",10,15,15,10,0,true,true
"prod-2","Los Siete Pecados Argentinos - Juan Grabois","siete-pecados-argentinos-grabois",15000,20000,"Ensayo político donde Juan Grabois analiza las problemáticas estructurales de la Argentina y propone caminos orientados a la justicia social y el bien común.","/images/libro_los_siete_pecados_capitales.webp","",0,0,0,0,20,false,true
"prod-3","Argentina Humana - Juan Grabois","argentina-humana-grabois",35000,40000,"En 'Argentina humana', Juan Grabois nos invita a explorar una visión transformadora de la justicia social en el siglo XXI. A través de un enfoque contracultural, el autor desafía las estructuras políticas y sociales tradicionales, proponiendo un modelo más inclusivo y humano para la sociedad argentina. Grabois, conocido por su activismo y compromiso con los derechos humanos, ofrece un análisis profundo y crítico de las desigualdades actuales, mientras presenta soluciones prácticas y esperanzadoras. Este ensayo se convierte en un llamado a la acción para construir un futuro más justo y equitativo, donde la dignidad y el bienestar de cada individuo sean el centro de las políticas públicas.","/images/libro_argentina_humana.webp","",0,0,0,0,15,false,true
"prod-4","Pin Argentina Humana (AH)","pin-argentina-humana-ah",8000,12000,"Pin metálico esmaltado de máxima calidad. Llevá la militancia y tus valores siempre con vos. Perfecto para la mochila, campera o morral.","/images/pin_argentina_humana.webp","",0,0,0,0,50,false,true
